rowNumber,sku,status,imageUrl,sourceImageUrl,reason,productUrl
"751","2172-212","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-6000-series-left-j-hook-bracket-2172-212-p/2172-212.htm"
"752","26346","fetch-error","","","HTTP 404","https://www.stove-parts-unlimited.com/hht-ignition-control-bracket-26346-p/26346.htm"
"753","G200-0010-SER","updated","/products/parts/g200-0010-ser.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/16632/49712/W135-0624-SER__69725.1610747380.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/napoleon-woodland-log-set-nefi18h-hardwire-housing-cover-g200-0010-ser-p/g200-0010-ser.htm"
"754","H7473","updated","/products/parts/h7473.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/15312/33006/H7738__17598.1560544148.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/lennox-crestline-gas-train-assembly-ng-h7473-p/h7473.htm"
"755","SRV6BASE-TAN","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-6000cl-ipi-base-refractory-tan-srv6base-tan-p/srv6base-tan.htm"
"756","W585-0830","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/napoleon-hdx52-2-starfire-night-light-shield-w585-0830-p/w585-0830.htm"
"757","W715-0040","updated","/products/parts/w715-0040.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13726/34284/W715-0011__11506.1562358423.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/napoleon-gs3500-short-upper-louvers-gold-w715-0040-p/w715-0040.htm"
"758","2143-007","updated","/products/parts/2143-007.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/2508/4300/2164-007-2__99918.1493898939.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/heat-n-glo-slr-burner-assembly-ng-2143-007-p/2143-007.htm"
"759","J5368","updated","/products/parts/j5368.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/14442/22245/1__95066.1521493852.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/fmi-vantage-hearth-dual-burner-j5368-p/j5368.htm"
"760","J5091","updated","/products/parts/j5091.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/10307/16570/J3631-2__80344.1493949763.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/fmi-inlet-tube-j5091-p/j5091.htm"
"761","466-5020PMH","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/quadra-fire-topaz-right-quartet-door-assembly-porcelain-mahogany-466-5020pmh-p/466-5020pmh.htm"
"762","SRV2280-722","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-true-36-base-refractory-right-srv2280-722-p/srv2280-722.htm"
"763","PL56285","updated","/products/parts/pl56285.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/11080/34614/PL20013__82303.1562797593.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/drolet-heatpro-glass-retainer-pl56285-p/pl56285.htm"
"764","9313","updated","/products/parts/9313.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41821/61233/H8864-01__23935.1692766094.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/ihp-touch-action-wall-switch-9313-p/9313.htm"
"765","SRV7038-046","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/quadra-fire-timer-door-control-arm-assembly-srv7038-046-p/srv7038-046.htm"
"766","W010-1999","updated","/products/parts/w010-1999.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12899/59348/W010-2363-02__86078.1680624849.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/napoleon-1600c-1-ash-pan-assembly-w010-1999-p/w010-1999.htm"
